x_left,y_left,z_left,x_right,y_right,z_right,x_center,y_center,z_center,lon_center,lat_center
-266.012809518557,294.985196761782,0,-281.011699765067,294.802737524824,0,-273.512032830718,294.893969841602,0.334853407274466,-86.2388237707865,39.790772561519
-265.929712854738,288.046923668724,0,-280.928460373509,287.853086447879,0,-273.42129298031,287.950105774976,0.334832092115635,-86.2388227086392,39.7907101040457
-265.822535503458,281.144207158886,0,-280.820001297134,280.868490333971,0,-273.310392602097,281.006548683102,0.334815565022648,-86.2388214105047,39.7906476493336
-265.672721624491,274.253573720193,0,-280.66790388552,273.873430380759,0,-273.160503716963,274.063750712772,0.334804100670637,-86.2388196559937,39.7905852014495
-265.470114247001,267.375516324709,0,-280.461545479667,266.868574911664,0,-272.956930369962,267.122346552294,0.334794683756153,-86.238817273084,39.7905227661022
-265.204644769327,260.510837349963,0,-280.190288019878,259.854715130223,0,-272.688420161621,260.183172311067,0.334785255764339,-86.2388141300616,39.7904603508122
-264.86625648205,253.660710011171,-0.0121877493352208,-279.843394062045,252.83285138199,0.0121877493352208,-272.345023120507,253.247322507443,0.334739665161358,-86.238810110458,39.7903979654243
-264.444840220214,246.826718905671,-0.11057723802721,-279.40995205442,245.804257273287,0.11057723802721,-271.915276891075,246.31631611128,0.334619085060363,-86.2388050801018,39.790335623601
-263.930162383663,240.010668104346,-0.209015781865584,-278.87879097448,238.770303942572,0.209015781865584,-271.380172469677,239.392502667917,0.334103854942816,-86.2387988164845,39.7902733464757
-263.311830817856,233.214884903992,-0.30753697346069,-278.238431593421,231.732795403692,0.30753697346069,-270.73150223664,232.478172151934,0.333121421386167,-86.2387912235328,39.7902111546457
-262.579274899868,226.442354314174,-0.406177759174691,-277.47705108719,224.694136744052,0.406177759174691,-269.962728185974,225.575924138944,0.331547807074548,-86.2387822247165,39.7901490714934
-261.72174028739,219.696785895596,-0.504973745401128,-276.582462498434,217.657439096693,0.504973745401128,-269.0649676328,218.689069913668,0.329434383838781,-86.2387717160601,39.7900871268025
-260.72829189441,212.982605953183,-0.603960213214647,-275.542103698155,210.626554204342,0.603960213214647,-268.027082428357,211.821775200883,0.32683590014087,-86.2387595671871,39.7900253580421
-259.58783573568,206.304983239785,-0.703172706719373,-274.343048745946,203.606152192516,0.703172706719373,-266.836887730361,204.979081224152,0.323756659487992,-86.2387456354689,39.7899638105561
-258.289167118009,199.669890291306,-0.802647107013654,-272.972052126973,196.601847297223,0.802647107013654,-265.481956529153,198.166930402382,0.320177206526709,-86.2387297754422,39.7899025377945
-256.821048825433,193.084172592445,-0.902419521916698,-271.415633212459,189.62034428117,0.902419521916698,-263.94990235652,191.392235085362,0.316081131832771,-86.2387118421182,39.7898416019312
-255.172321359203,186.555604385741,-1.00252621253417,-269.660207416632,182.669583594886,1.00252621253417,-262.228449787552,184.662970658206,0.311461090632366,-86.2386916918082,39.7897810747019
-253.332047310906,180.092921610944,-1.10300358909257,-267.69227113927,175.75887366482,1.10300358909257,-260.305528975922,177.988260551701,0.306316115343887,-86.2386691832296,39.7897210381684
-251.289691423421,173.705826342487,-1.20388823138464,-265.498647194097,168.89900037237,1.20388823138464,-258.169450653623,171.378434669876,0.300646830160338,-86.2386441795547,39.7896615852443
-249.035394417031,167.405110721559,-1.2147349359109,-263.066857910372,162.102466830533,1.2147349359109,-255.809031943778,164.845278835987,0.296773985119685,-86.2386165498833,39.7896028219388
-246.560366589409,161.202852142234,-1.2147349359109,-260.385658530917,155.383805593867,1.2147349359109,-253.222975768219,158.398569013175,0.294577335586914,-86.2385862790326,39.7895448361829
-243.856801610864,155.111301094662,-1.2147349359109,-257.44507893859,148.758449824184,1.2147349359109,-250.402487121145,152.051033371605,0.294090605586617,-86.2385532640535,39.789487742462
-240.914624451295,149.132715756528,-1.2147349359109,-254.244283684435,142.253748920704,1.2147349359109,-247.344188705735,145.814644491425,0.29576627845411,-86.2385174654133,39.7894316484648
